,country,forecast_2023,forecast_2024,forecast_2025,forecast_2026,forecast_2027,forecast_2028,forecast_2029,forecast_2030,forecast_2031,forecast_2032,forecast_2033,forecast_2034,forecast_2035,forecast_2036,forecast_2037,forecast_2038
57,Curacao,1.6371378898620605,1.9777343273162842,2.619713306427002,2.1497232913970947,2.5001020431518555,3.885967969894409,5.09303092956543,6.262007713317871,6.973257064819336,7.296380996704102,7.454901695251465,7.539682865142822,7.523448467254639,7.44100284576416,7.270211219787598,6.940996170043945
58,Cyprus,7.195340633392334,7.178226470947266,7.163562774658203,7.152970790863037,7.1464152336120605,7.145895957946777,7.152485370635986,7.15423059463501,7.155242443084717,7.152018070220947,7.14801549911499,7.146337985992432,7.144856929779053,7.147951126098633,7.1494293212890625,7.150650978088379
59,Czechia,94.9789047241211,94.00967407226562,93.12423706054688,92.40980529785156,91.82359313964844,91.32769775390625,90.88895416259766,90.5030746459961,90.18888092041016,89.95575714111328,89.80029296875,89.69833374023438,89.6098403930664,89.48641967773438,89.40538787841797,89.35606384277344
60,Democratic Republic of Congo,3.380844831466675,3.3950746059417725,3.4170923233032227,3.4357857704162598,3.449038505554199,3.469348430633545,3.4635801315307617,3.4291114807128906,3.43198561668396,3.451993465423584,3.4619812965393066,3.4662930965423584,3.465479612350464,3.461428642272949,3.450996160507202,3.447568893432617
61,Denmark,27.645374298095703,26.992839813232422,26.456077575683594,26.043519973754883,25.696571350097656,25.39352035522461,25.170835494995117,24.97726058959961,24.809917449951172,24.69574737548828,24.605121612548828,24.547475814819336,24.4928035736084,24.436737060546875,24.402257919311523,24.379070281982422
62,Djibouti,0.4555239677429199,0.48256582021713257,0.44246906042099,0.4916076064109802,0.45036667585372925,0.4695473909378052,0.5061904788017273,0.3737233579158783,0.4598655104637146,0.3888668119907379,0.4216080904006958,0.4454761743545532,0.4513973295688629,0.4050338864326477,0.4628518223762512,0.45314139127731323
63,Dominica,0.1578850895166397,0.15803579986095428,0.15899479389190674,0.15939779579639435,0.15908226370811462,0.15922394394874573,0.1590888351202011,0.15925519168376923,0.15989601612091064,0.16040287911891937,0.16022208333015442,0.16030612587928772,0.1608157604932785,0.16081005334854126,0.1605626940727234,0.16032585501670837
64,Dominican Republic,24.940584182739258,24.874698638916016,24.76812171936035,24.666610717773438,24.575855255126953,24.473161697387695,24.36310577392578,24.265300750732422,24.21971893310547,24.211652755737305,24.188440322875977,24.220413208007812,24.332366943359375,24.309499740600586,24.293344497680664,24.271337509155273
65,East Timor,0.6640512347221375,0.666135311126709,0.6674724817276001,0.6677941083908081,0.667953610420227,0.6684415340423584,0.6688981652259827,0.6692558526992798,0.6692918539047241,0.6694099307060242,0.6697279810905457,0.6697052717208862,0.6698554158210754,0.6698641777038574,0.6699048280715942,0.669959545135498
66,Ecuador,37.935176849365234,37.63299560546875,37.43402099609375,37.3153076171875,37.25729751586914,37.1690559387207,37.153263092041016,37.28645706176758,37.37175369262695,37.40718078613281,37.44447708129883,37.46117401123047,37.54349136352539,37.36468505859375,37.41943359375,37.55934524536133
67,Egypt,255.44625854492188,257.42230224609375,259.2290954589844,260.94219970703125,262.44818115234375,263.8767395019531,265.1822204589844,266.24566650390625,267.2238464355469,267.99871826171875,268.5998840332031,269.34033203125,269.9681091308594,270.7608337402344,271.3019714355469,271.7109069824219
68,El Salvador,9.173111915588379,10.509861946105957,10.849257469177246,10.982980728149414,11.053776741027832,11.108224868774414,11.171833992004395,11.225621223449707,11.255230903625488,11.285805702209473,11.332984924316406,11.368635177612305,11.375934600830078,11.403042793273926,11.418069839477539,11.43410873413086
69,Equatorial Guinea,4.7850565910339355,4.6511311531066895,4.268771648406982,4.274280548095703,4.240273475646973,4.440021514892578,5.04320764541626,5.605135440826416,6.035146236419678,6.584890365600586,7.144534587860107,7.323884010314941,7.250133514404297,7.297673225402832,7.337701797485352,7.260850429534912
70,Eritrea,0.680453896522522,0.6475520730018616,0.6252028942108154,0.6024613976478577,0.5921889543533325,0.5863444805145264,0.5751315355300903,0.5644835233688354,0.5530405640602112,0.5437864661216736,0.5368524193763733,0.5398711562156677,0.5481895208358765,0.5582886934280396,0.5781810283660889,0.6001397371292114
71,Estonia,11.33275318145752,12.00678825378418,10.084188461303711,11.834596633911133,13.956910133361816,15.371030807495117,17.515892028808594,18.77289581298828,19.27535629272461,19.9008846282959,20.456199645996094,20.818376541137695,20.944631576538086,20.934661865234375,20.858800888061523,20.63082504272461
72,Eswatini,0.8759025931358337,1.100549340248108,1.0737563371658325,1.1125128269195557,1.1008411645889282,0.9836570024490356,0.7113972902297974,1.107811450958252,1.2354702949523926,1.1506839990615845,1.1301466226577759,1.0874494314193726,1.0331902503967285,1.0661858320236206,1.0323832035064697,0.891747772693634
73,Ethiopia,19.665451049804688,20.04381561279297,20.335378646850586,20.553726196289062,20.718603134155273,20.84001922607422,20.932207107543945,21.006322860717773,21.061908721923828,21.10676383972168,21.14266014099121,21.169296264648438,21.188722610473633,21.203737258911133,21.216238021850586,21.22524070739746
74,Europe,5089.3671875,5046.66845703125,5011.63671875,4986.0712890625,4967.02880859375,4953.0498046875,4942.33984375,4933.3974609375,4926.59326171875,4921.578125,4918.29296875,4916.3154296875,4914.91064453125,4912.837890625,4912.02001953125,4911.1455078125
75,Europe (GCP),5111.470703125,5071.52978515625,5037.22900390625,5013.12744140625,4995.43701171875,4982.89697265625,4973.3671875,4965.02099609375,4959.07080078125,4955.14453125,4953.33642578125,4953.0126953125,4952.873046875,4950.71142578125,4950.88525390625,4950.3564453125
76,Europe (excl. EU-27),2384.109619140625,2365.258056640625,2343.48828125,2330.25390625,2322.54833984375,2319.61376953125,2317.490966796875,2314.86376953125,2312.4208984375,2310.856689453125,2310.60986328125,2312.489990234375,2314.474365234375,2314.516357421875,2316.818115234375,2316.873779296875
77,Europe (excl. EU-28),2119.388427734375,2122.923828125,2121.684326171875,2123.568603515625,2128.041748046875,2134.249755859375,2137.78369140625,2137.508544921875,2135.0048828125,2133.49267578125,2133.457275390625,2137.077392578125,2139.521728515625,2134.587890625,2136.06884765625,2129.177001953125
78,European Union (27),2691.509521484375,2655.469482421875,2624.490234375,2598.205078125,2576.20654296875,2557.716796875,2542.091796875,2528.671630859375,2517.032470703125,2507.16943359375,2498.996337890625,2492.422607421875,2487.229248046875,2483.148193359375,2479.1162109375,2475.78125
79,European Union (28),3017.24462890625,2978.852294921875,2945.861572265625,2919.79345703125,2898.628173828125,2881.792724609375,2868.303955078125,2856.895263671875,2848.050048828125,2841.373046875,2836.769775390625,2833.558349609375,2831.011962890625,2828.212890625,2826.486083984375,2825.157958984375
80,Faroe Islands,0.7236973643302917,0.6973673701286316,0.65828537940979,0.6350343227386475,0.6011767387390137,0.5799441933631897,0.5813983678817749,0.5716052055358887,0.5693128108978271,0.5782883167266846,0.6201003789901733,0.6657695770263672,0.7057090401649475,0.7364245653152466,0.7506440281867981,0.7594310641288757
81,Fiji,1.181298017501831,1.1783660650253296,1.177095651626587,1.1782737970352173,1.1800118684768677,1.182307481765747,1.185591697692871,1.18923819065094,1.1921756267547607,1.1936545372009277,1.1944713592529297,1.1939587593078613,1.1920703649520874,1.1894930601119995,1.1879010200500488,1.1869128942489624
82,Finland,35.88052749633789,34.84645462036133,33.98182678222656,33.351463317871094,32.824092864990234,32.375709533691406,32.020320892333984,31.717548370361328,31.455608367919922,31.261173248291016,31.103208541870117,30.991714477539062,30.90241241455078,30.820587158203125,30.757631301879883,30.704620361328125
83,France,293.69189453125,290.82122802734375,288.45111083984375,286.4062805175781,284.7294921875,283.2544860839844,281.95330810546875,280.9524230957031,280.0264892578125,279.18316650390625,278.4163818359375,277.8210144042969,277.33050537109375,277.085205078125,276.7004699707031,276.4093933105469
84,French Equatorial Africa (Jones et al. 2023),,,,,,,,,,,,,,,,
85,French Polynesia,0.8691580295562744,0.8693094253540039,0.8694063425064087,0.8691156506538391,0.8690491914749146,0.8690539002418518,0.8690610527992249,0.8691917061805725,0.8693157434463501,0.8693262934684753,0.8693625330924988,0.8693292737007141,0.8693048357963562,0.8694054484367371,0.8693298697471619,0.8693116307258606
86,French West Africa (Jones et al. 2023),,,,,,,,,,,,,,,,
87,Gabon,5.995589256286621,6.048664093017578,6.11264705657959,6.088272571563721,6.0585737228393555,6.073217868804932,5.989461421966553,5.645565032958984,5.734593868255615,5.684278964996338,5.929200649261475,6.017299652099609,6.081045627593994,6.040014266967773,6.013395309448242,6.03531551361084
88,Gambia,0.7983608841896057,0.8145018815994263,0.8272782564163208,0.837516188621521,0.8457654118537903,0.8523684740066528,0.8574737310409546,0.8615235686302185,0.8648800253868103,0.8676251769065857,0.8697885274887085,0.8715004324913025,0.872914731502533,0.8740187287330627,0.8748928904533386,0.8755804300308228
89,Georgia,11.515151977539062,11.674290657043457,11.815444946289062,11.929591178894043,12.03946590423584,12.136804580688477,12.213652610778809,12.282828330993652,12.34766674041748,12.40657901763916,12.458380699157715,12.500511169433594,12.541152000427246,12.573315620422363,12.601913452148438,12.625060081481934
90,Germany,636.6588134765625,623.5851440429688,614.3944702148438,604.6817626953125,596.622802734375,589.0576171875,581.4669799804688,575.5081176757812,569.8460083007812,564.4439086914062,559.7223510742188,555.9264526367188,553.2846069335938,551.955810546875,549.978515625,548.2510375976562
91,Ghana,22.100566864013672,23.128604888916016,23.965139389038086,24.612455368041992,25.120159149169922,25.517345428466797,25.848270416259766,26.12388801574707,26.353031158447266,26.559412002563477,26.752809524536133,26.905054092407227,27.033369064331055,27.129243850708008,27.204248428344727,27.275270462036133
92,Greece,55.052146911621094,53.7179069519043,52.66596603393555,51.826229095458984,51.194915771484375,50.73043441772461,50.323123931884766,50.00297546386719,49.74565505981445,49.536869049072266,49.42790222167969,49.364383697509766,49.3116340637207,49.229225158691406,49.17438888549805,49.15376281738281
93,Greenland,0.5800223350524902,0.5877025127410889,0.5899060368537903,0.5963842868804932,0.6039115190505981,0.6028257608413696,0.6005666255950928,0.5961744785308838,0.5918881297111511,0.587688148021698,0.5844928622245789,0.5815019011497498,0.5792683959007263,0.5762811303138733,0.5753355622291565,0.5760555267333984
94,Grenada,0.35007914900779724,0.3623769283294678,0.37541329860687256,0.3884468078613281,0.4016876816749573,0.4136393964290619,0.42380020022392273,0.43566155433654785,0.44525399804115295,0.45348915457725525,0.46042147278785706,0.46578165888786316,0.4701138734817505,0.475004643201828,0.47846636176109314,0.48143404722213745
95,Guatemala,19.725921630859375,19.827051162719727,19.894168853759766,19.930492401123047,19.94489288330078,19.943647384643555,19.936532974243164,19.925771713256836,19.920225143432617,19.915651321411133,19.910001754760742,19.90799903869629,19.90989112854004,19.899742126464844,19.899259567260742,19.896076202392578
96,Guinea,5.20411491394043,5.332180500030518,5.431154727935791,5.508520603179932,5.573470592498779,5.6313323974609375,5.683706760406494,5.728003978729248,5.76399040222168,5.793224334716797,5.81583309173584,5.836266994476318,5.850203990936279,5.859724044799805,5.866576671600342,5.872583866119385
97,Guinea-Bissau,0.33440500497817993,0.33906814455986023,0.34322312474250793,0.3469182550907135,0.35017555952072144,0.35302478075027466,0.3555011749267578,0.35754916071891785,0.35923120379447937,0.36058923602104187,0.36183640360832214,0.36293622851371765,0.3638879656791687,0.36488521099090576,0.36561718583106995,0.36623716354370117
98,Guyana,3.883695602416992,3.990659713745117,4.061740398406982,4.109660625457764,4.142691135406494,4.165276050567627,4.180002689361572,4.189342498779297,4.194579124450684,4.198200225830078,4.199501037597656,4.19977331161499,4.199645519256592,4.199660778045654,4.199812889099121,4.199695110321045
99,Haiti,2.577665328979492,2.5268537998199463,2.482509136199951,2.4515631198883057,2.428790330886841,2.4074583053588867,2.409764289855957,2.4141106605529785,2.4185988903045654,2.44088077545166,2.4735686779022217,2.522275924682617,2.556389570236206,2.5603771209716797,2.5591518878936768,2.5584802627563477
100,High-income countries,12347.6787109375,12264.4150390625,12195.9541015625,12142.3232421875,12100.0126953125,12066.58984375,12040.8720703125,12021.0380859375,12006.44140625,11995.7412109375,11988.8232421875,11986.025390625,11984.9794921875,11980.06640625,11978.3681640625,11977.7431640625
101,Honduras,10.881026268005371,10.978965759277344,11.076166152954102,11.165301322937012,11.239714622497559,11.306282997131348,11.367403030395508,11.423208236694336,11.469012260437012,11.518548965454102,11.560346603393555,11.602128028869629,11.6302490234375,11.671089172363281,11.695542335510254,11.716530799865723
